snid ave_delta ave_beta0
simSN_0 40.143240316867846 1.9646368818324653
simSN_1 40.74419176526324 2.006581359555981
simSN_10 36.02241801442876 1.858975809128911
simSN_100 40.56111449762743 2.0095353534328613
simSN_101 38.46857847959254 1.8336922889111045
simSN_102 34.821748802491896 1.6995981840896839
simSN_103 39.9441879724841 1.8920148277726354
simSN_104 40.59102367183347 2.014670873317666
simSN_105 40.529705832225204 1.966223049142192
simSN_106 33.8885902397914 1.529573689317845
simSN_107 38.43936811579642 1.8656317236008113
simSN_108 40.51733441677666 2.0225819586428497
simSN_109 41.15124008740875 1.9977780844081154
simSN_11 40.432865442381114 1.9479871110454678
simSN_110 39.89081243018379 1.9576081825650788
simSN_111 40.20837121700389 1.9687643472089713
simSN_112 40.690046515483175 1.9917991928908474
simSN_113 38.82830897445382 1.7680023814539771
simSN_114 40.214891361167396 1.9964146093147177
simSN_115 40.23112981208945 2.0152950401640535
simSN_116 40.71896553042931 2.0103150483158188
simSN_117 39.14501148657813 1.8984554404211957
simSN_118 38.31020139229297 1.5850334152497458
simSN_119 40.36885481977609 2.0113737121287993
simSN_12 40.21541306687961 1.9741530645428753
simSN_120 41.267713258689696 1.9118417546864224
simSN_121 40.88003675803379 2.0435356673480762
simSN_122 35.4100164208523 1.5381330596828753
simSN_123 39.956805705049995 1.7894645546068193
simSN_124 40.65076438101903 2.0001713350676473
simSN_125 40.63415396125389 1.975640753553419
simSN_126 41.02408166530077 1.9738127536906644
simSN_127 41.02152572959961 1.8389457721991427
simSN_128 39.492796553963 1.9021979184899274
simSN_129 40.43357933337399 2.0326131234984963
simSN_13 40.6267063803152 2.005745608119643
simSN_130 40.276982720544986 1.6863176797009196
simSN_131 40.77677552276275 1.973139928327917
simSN_132 40.32651242206289 1.969043221924617
simSN_133 36.384252577022444 1.7424751690223543
simSN_134 40.38448944899954 1.9710109865784888
simSN_135 37.915895158187226 1.930387281159079
simSN_136 40.353307172147 1.997014412896684
simSN_137 38.86770949358804 1.7063645170223924
simSN_138 40.24655107828059 2.008223128420135
simSN_139 31.007462822827875 1.7852127672411457
simSN_14 40.217416340029665 2.0165207180521425
simSN_140 40.220452313261745 1.9924580969755865
simSN_141 36.85916642185737 1.5252282534068105
simSN_142 39.58243733356393 1.7382125422263652
simSN_143 40.91979017785435 2.0000480340136018
simSN_144 40.55142053065673 1.9840081246511267
simSN_145 38.819187808868115 1.6448222551045426
simSN_146 41.007055709523115 1.4677483191945226
simSN_147 39.57566332430224 1.7995593879591005
simSN_148 40.50821044262486 1.9418170159230925
simSN_149 39.035510485454154 1.9798117090933272
simSN_15 31.460544189714177 1.36489340191022
simSN_150 39.616772657290916 1.782052335814699
simSN_151 36.740223818191446 1.7814619552446456
simSN_152 40.293529593449875 1.7951428768424433
simSN_153 34.45930161600411 1.5324249634983311
simSN_154 37.67993613418911 1.7543442514650653
simSN_155 40.93017136303758 1.9819627244638305
simSN_156 41.039508706062534 1.9764719452482058
simSN_157 36.19550914754891 1.7031417153455208
simSN_158 39.285080282110556 1.6739821085705398
simSN_159 40.18873121880047 1.8138681423291978
simSN_16 35.53350507537653 1.6251946164009787
simSN_160 40.94147483338371 2.0267466749753806
simSN_161 41.22984118966 1.6127791699796836
simSN_162 40.681180268882336 2.007523674226101
simSN_163 34.603367334897214 1.6497494366606833
simSN_164 35.78810143477886 1.7960997875474252
simSN_165 40.135324144700405 1.9976466769594012
simSN_166 40.04746464536389 1.91732581883379
simSN_167 39.514104990403425 1.892353714098941
simSN_168 40.00879769900179 1.955245436488652
simSN_169 40.500399312107845 1.993285691224898
simSN_17 39.31297383274848 1.8030237836018774
simSN_170 37.54591347223284 1.7744606165420271
simSN_171 39.987545082929856 1.9937457345471992
simSN_172 40.4222033720449 1.972154752956572
simSN_173 40.86527616892592 1.755993373037597
simSN_174 35.54159725945355 1.466944709826471
simSN_175 40.771784043346074 2.015336988305756
simSN_176 33.50657352952637 1.690522683742296
simSN_177 41.55574757403432 1.70856742485991
simSN_178 40.579965705241015 2.019976624076688
simSN_179 40.389900241251155 1.8740506849944338
simSN_18 39.34021393453566 1.8773315645230562
simSN_180 36.38081591133363 1.727698332697608
simSN_181 40.383708881926495 1.8722816446798387
simSN_182 43.07087579820595 1.7823459890792592
simSN_183 40.72192716486061 2.0050137104938863
simSN_184 40.43503549658777 2.007488065336537
simSN_185 37.889062758752296 1.7831355246136174
simSN_186 35.43148512720222 1.6046286173522262
simSN_187 40.76044049991471 1.8768488518181234
simSN_188 40.69023672564697 2.0197836399772338
simSN_189 41.65336745935062 1.9612124085199163
simSN_19 40.50104562045728 2.021505677676311
simSN_190 40.44761305856724 1.9835562871634198
simSN_191 40.79953240394034 2.012041562934607
simSN_192 39.05920210276682 1.847765913434032
simSN_193 40.73898033537587 1.993758329436172
simSN_194 38.279747753710936 1.8291289911123267
simSN_195 38.35584767289087 1.8404282234885612
simSN_196 40.4775675258304 1.9837474521343987
simSN_197 41.53348985061747 1.821560082472942
simSN_198 40.31069333809202 2.0332047240226947
simSN_199 39.644589650102404 1.7879938608689576
simSN_2 38.710622452921335 1.9356872657753115
simSN_20 42.48154341649942 1.702437201062701
simSN_21 40.678957328459035 2.0081292962130735
simSN_22 34.72387310822308 1.6885301146785696
simSN_23 38.10741423337269 1.7464117303022628
simSN_24 39.40340594053157 1.939020044735072
simSN_25 40.04975251072034 1.9108382478640697
simSN_26 39.57628733402942 1.743312117047835
simSN_27 40.26983857053233 1.9981435962873717
simSN_28 40.09195843426193 1.9781580694933967
simSN_29 40.29763474103155 2.0198871470285593
simSN_3 40.4511482629976 1.9947678358889482
simSN_30 40.85800508195609 1.9996079254263033
simSN_31 40.98861076890369 1.964124196771666
simSN_32 40.53797417910128 2.0113329840157474
simSN_33 41.41299453654081 1.9130175101165383
simSN_34 40.48267003296934 1.728970826283023
simSN_35 35.76036240753028 1.6093835221228203
simSN_36 38.53851579549797 1.8070729658379379
simSN_37 39.86925026600678 1.9642598126812851
simSN_38 41.125159302023505 1.98239231981116
simSN_39 40.411458043747565 1.9791646309713635
simSN_4 40.147447087944585 1.9481195729442409
simSN_40 39.380557655251984 1.7448130472282732
simSN_41 40.51714900605562 2.0276750510458736
simSN_42 36.12349803923152 1.652377038347855
simSN_43 38.877479528549685 1.9114710293573591
simSN_44 39.27061087117795 1.6185467204533048
simSN_45 40.592352612343966 1.925360481931258
simSN_46 39.85721535407087 1.7017666742280984
simSN_47 38.58592233637707 1.8893306572923871
simSN_48 26.769140074808863 1.4623001070928425
simSN_49 40.12158257969689 1.9749503601082403
simSN_5 39.68945552180513 1.7312821067600437
simSN_50 41.23569606604294 1.9221106364314493
simSN_51 39.73746706990678 1.9390481896612977
simSN_52 40.55936782176269 2.0040281727788987
simSN_53 40.48991230387194 1.992458305297157
simSN_54 37.965846730088906 1.8224947850775073
simSN_55 40.690660298010606 1.9762412400728306
simSN_56 39.66599040372762 1.5717545978552023
simSN_57 40.36063857690215 2.011983135438531
simSN_58 40.19883333641946 2.0001144774390784
simSN_59 40.518525481776436 1.9778739045662168
simSN_6 41.55069653920289 1.8908674055423786
simSN_60 40.79515600647325 2.0324548735755017
simSN_61 39.982814039991894 1.8610105837548594
simSN_62 40.95218305967475 1.9406508413268226
simSN_63 39.59709316080984 1.7682668891419473
simSN_64 40.80690990150448 2.0411887049664856
simSN_65 34.975431361843206 1.598503032150373
simSN_66 40.81548845480545 2.010759779004654
simSN_67 34.33711498033764 1.6823271958849415
simSN_68 38.280333464034946 1.7929807369315334
simSN_69 40.389167700735534 2.0090891311246613
simSN_7 39.62943370600606 1.971081477376353
simSN_70 45.14948727715997 1.6205220591153775
simSN_71 40.159173104618596 1.991995874497952
simSN_72 40.452757214538074 2.0147774464837895
