snid ave_delta ave_beta0
simSN_73 38.18814215552292 1.8392637165366188
simSN_74 40.814583024262035 1.8279577040875445
simSN_75 38.75862789328566 1.9510981108368137
simSN_76 40.2863948142954 1.997160095318111
simSN_77 37.612807765425586 1.6706599600765943
simSN_78 30.850018150379412 1.6384045903731008
simSN_79 39.69067304056374 1.7356035072218992
simSN_8 39.63801919690927 1.884999894503016
simSN_80 34.19899466411325 1.5782538994589568
simSN_81 40.53815963919302 1.9947850375186695
simSN_82 40.323560696670604 1.9785695797453
simSN_83 37.3758651782931 1.7346803797572377
simSN_84 40.49215690601993 2.016415622085388
simSN_85 40.8813518008099 2.0132412364568126
simSN_86 40.641532069038476 2.0051218396051933
simSN_87 39.61803807248155 1.7700432753782627
simSN_88 40.838896649096085 2.0113667617545117
simSN_89 39.577685464631685 1.9461058870201127
simSN_9 40.184673078593576 1.9401866692233354
simSN_90 40.82452459531349 1.9371370045225176
simSN_91 43.46025571440448 1.970935763148427
simSN_92 40.5921472320982 2.0568601044650223
simSN_93 34.89450858465907 1.5766335055059697
simSN_94 39.50619006651095 1.9126174259633153
simSN_95 37.48728481921299 1.6680441442388678
simSN_96 40.43803381513909 2.01820339905165
simSN_97 39.056788788069845 1.7998673744422518
simSN_98 40.47480932606268 1.9923472262303228
simSN_99 41.10049895724347 2.0042448112744724
