time,band,flux,fluxerr,zp,zpsys,image
0.0,lssti,23.080368606037876,1.0801798227137636,27,AB,image_1
5.172413793103448,lssti,20.81647428435249,1.065535763920193,27,AB,image_1
10.344827586206897,lssti,19.649830437789248,1.0842166431608655,27,AB,image_1
15.517241379310345,lssti,17.47494056558145,1.1314835115172992,27,AB,image_1
20.689655172413794,lssti,11.932545157798085,1.083447623279978,27,AB,image_1
25.862068965517242,lssti,9.92771008506482,1.0601330948553407,27,AB,image_1
31.03448275862069,lssti,9.6828793075954,1.0219108847049019,27,AB,image_1
36.20689655172414,lssti,5.919072952754409,1.0609385871010808,27,AB,image_1
41.37931034482759,lssti,3.1127494252025887,1.033905229837872,27,AB,image_1
46.55172413793103,lssti,3.7816343314851806,1.0823478654404497,27,AB,image_1
51.724137931034484,lssti,3.7071996300386605,1.0284851466966516,27,AB,image_1
56.896551724137936,lssti,2.745186762392307,1.0395841704872426,27,AB,image_1
62.06896551724138,lssti,0.7174368163782114,1.0788142621170587,27,AB,image_1
67.24137931034483,lssti,1.6038586965246908,1.004148473971954,27,AB,image_1
72.41379310344828,lssti,1.6042464250078268,1.0955049442442897,27,AB,image_1
77.58620689655173,lssti,1.7146463708173068,1.0053626717439512,27,AB,image_1
87.93103448275862,lssti,1.217127096804759,1.082683650735427,27,AB,image_1
93.10344827586206,lssti,1.2958277340367705,1.0019861862779442,27,AB,image_1
103.44827586206897,lssti,0.6952923362049179,1.0540127361167584,27,AB,image_1
113.79310344827587,lssti,2.5049287602048054,1.0997973759172022,27,AB,image_1
0.0,lssty,32.39725385888815,1.0950552637904962,27,AB,image_1
5.172413793103448,lssty,37.48776720854048,1.1216967453408666,27,AB,image_1
10.344827586206897,lssty,38.854408069745254,1.1680101598182924,27,AB,image_1
15.517241379310345,lssty,37.01709134760979,1.174309579017903,27,AB,image_1
20.689655172413794,lssty,32.07556294648933,1.1518941628694521,27,AB,image_1
25.862068965517242,lssty,28.471098665247766,1.1250416839429607,27,AB,image_1
31.03448275862069,lssty,23.756761422983107,1.1024900178652148,27,AB,image_1
36.20689655172414,lssty,19.330531239821045,1.1013334873059342,27,AB,image_1
41.37931034482759,lssty,17.375764534316033,1.0773981422009333,27,AB,image_1
46.55172413793103,lssty,13.651107322347196,1.0503748715309356,27,AB,image_1
51.724137931034484,lssty,10.716055241677866,1.1187741157487883,27,AB,image_1
56.896551724137936,lssty,9.216483550274626,1.1172117826795713,27,AB,image_1
62.06896551724138,lssty,7.674738827288637,1.0910354725752591,27,AB,image_1
67.24137931034483,lssty,5.4175423627967465,1.0295259429539254,27,AB,image_1
72.41379310344828,lssty,6.407599629068152,1.0702489466404528,27,AB,image_1
77.58620689655173,lssty,5.212328648053586,1.103909986034881,27,AB,image_1
82.75862068965517,lssty,4.216772722441089,1.0211922320038065,27,AB,image_1
87.93103448275862,lssty,3.7854133816398066,1.0729435369708726,27,AB,image_1
93.10344827586206,lssty,3.4777632569592445,1.0596940196847873,27,AB,image_1
98.27586206896552,lssty,3.2939115270250863,1.0333974024745136,27,AB,image_1
103.44827586206897,lssty,2.75734387089665,1.0771907431127168,27,AB,image_1
108.62068965517241,lssty,2.8458207771155313,1.0459065055802375,27,AB,image_1
