snid delta delta_err beta0 beta0_err
simSN_0 40.67947190382988 0.4793581404558959 0.488861010320634 0.004639454767433895
simSN_1 40.4094015670582 0.2058718245500033 0.5000166424508261 0.0028196665408475475
simSN_10 39.46959946289634 0.572757333715896 0.5018675546158377 0.0048395412520957
simSN_100 40.151719181224465 0.11271780559627488 0.5010090212045135 0.0014107130750300875
simSN_101 41.27911655359773 0.6714141460865661 0.5017023685143195 0.008241594200611248
simSN_102 41.48750636727851 1.0698381680517408 0.49691957158470984 0.011273810680420632
simSN_103 40.77952747555886 0.7098874853389735 0.5070862167240363 0.00877484111752111
simSN_104 40.105091874221124 0.1282354091483811 0.49919423301228977 0.001872422258840149
simSN_105 40.28859195855001 0.40850357542504995 0.4953471610871417 0.004546139755064741
simSN_106 41.184087002418494 1.24127191017452 0.5081476452640078 0.01472512338317336
simSN_107 39.38953759433606 0.7582188993153344 0.49804280474873547 0.0073000884158952025
simSN_108 40.04403618971141 0.10247818186568415 0.49827644270148 0.0014026179423035105
simSN_109 40.9150704534349 0.2974872289484501 0.5019538386288052 0.003948082442081543
simSN_11 40.1210606719444 0.4434716931058062 0.5027522415166242 0.007003230110013469
simSN_110 40.5865872806495 0.38261849749126814 0.4951176204462059 0.004773974176176054
simSN_111 40.347362404581084 0.37145102397409346 0.5006404993201063 0.0050159832329025635
simSN_112 40.064846231457196 0.20107831609781576 0.5024402867290572 0.0026218269834286027
simSN_113 40.18349312209484 0.8627559201405214 0.49171056317183065 0.008113791311217958
simSN_114 40.16377982584317 0.30623816713201285 0.4991187421680837 0.00425774644179256
simSN_115 40.58924969771292 0.5169823563297354 0.49784972826942536 0.005412986939956929
simSN_116 40.03905502553282 0.13592776398631365 0.5005051931769274 0.002082045094778991
simSN_117 39.36710768656207 0.5399899298464782 0.5047987691746778 0.005112140643666762
simSN_118 43.698451801579814 1.7678071528028498 0.47467464781607777 0.019374567853458747
simSN_119 40.12867960441576 0.07716786164673828 0.4994337894898875 0.0015269546306000577
simSN_12 40.29090266110424 0.4095581376590745 0.5003951796435816 0.004989388032525842
simSN_120 41.59572759942025 0.6470924237027256 0.5020694944833942 0.007983473453563322
simSN_121 40.76660766702542 0.44788035229600753 0.4914345949249609 0.005573435731946705
simSN_122 44.271964093212944 2.483621754010918 0.4557177276076426 0.019521335725362295
simSN_123 40.21771520762443 0.5112828154292427 0.49690050049690315 0.00578910920079745
simSN_124 40.21192051731389 0.18449317465939202 0.5000816387022708 0.0025852553038913807
simSN_125 40.23737367319032 0.23906650278238248 0.5041985971726821 0.00312921989967584
simSN_126 40.77095746852742 0.3306967535694632 0.5011557083334082 0.004549463094488857
simSN_127 41.77999341317179 0.8160822665476317 0.48569537050686573 0.00917832432235151
simSN_128 40.632825105884926 0.7560594298478789 0.486570355141185 0.00801953644218058
simSN_129 39.953303561928195 0.2111203247870663 0.49554163643587307 0.0022541981252568438
simSN_13 39.98438323047946 0.16643730990491903 0.49734453675936197 0.002330170780774473
simSN_130 41.119399913970646 1.3964065843791036 0.5010597624082326 0.013730105555899737
simSN_131 40.68897920915951 0.4011463738003856 0.49962771727641014 0.004607521180717469
simSN_132 40.84770723729373 0.39083736737504676 0.4953760862319822 0.004106435665708894
simSN_133 40.89315123805889 0.5559078976569211 0.5043317619220112 0.005823601655437309
simSN_134 40.29781016322416 0.29796722825268995 0.5016393626270226 0.0035721240169153024
simSN_135 39.60786530693323 0.3521778332285813 0.4975349381833491 0.0036310889681285467
simSN_136 39.99344324112168 0.3916581714672333 0.5005206567822994 0.003935498579863336
simSN_137 41.809880268491646 1.3515673418376857 0.4749671650239681 0.013627204710820974
simSN_138 39.9412613435288 0.2198530495681554 0.4971847081389113 0.002901132174811453
